interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,load
2018-04-10T05:05:00-07:00,2018-04-10 12:05:00+00:00,2018-04-10T05:10:00-07:00,2018-04-10 12:10:00+00:00,20648
2018-04-10T05:10:00-07:00,2018-04-10 12:10:00+00:00,2018-04-10T05:15:00-07:00,2018-04-10 12:15:00+00:00,20839
2018-04-10T05:15:00-07:00,2018-04-10 12:15:00+00:00,2018-04-10T05:20:00-07:00,2018-04-10 12:20:00+00:00,20966
2018-04-10T05:20:00-07:00,2018-04-10 12:20:00+00:00,2018-04-10T05:25:00-07:00,2018-04-10 12:25:00+00:00,21086
2018-04-10T05:25:00-07:00,2018-04-10 12:25:00+00:00,2018-04-10T05:30:00-07:00,2018-04-10 12:30:00+00:00,21182
2018-04-10T05:30:00-07:00,2018-04-10 12:30:00+00:00,2018-04-10T05:35:00-07:00,2018-04-10 12:35:00+00:00,21279
2018-04-10T05:35:00-07:00,2018-04-10 12:35:00+00:00,2018-04-10T05:40:00-07:00,2018-04-10 12:40:00+00:00,21436
2018-04-10T05:40:00-07:00,2018-04-10 12:40:00+00:00,2018-04-10T05:45:00-07:00,2018-04-10 12:45:00+00:00,21598
2018-04-10T05:45:00-07:00,2018-04-10 12:45:00+00:00,2018-04-10T05:50:00-07:00,2018-04-10 12:50:00+00:00,21724
2018-04-10T05:50:00-07:00,2018-04-10 12:50:00+00:00,2018-04-10T05:55:00-07:00,2018-04-10 12:55:00+00:00,21832
2018-04-10T05:55:00-07:00,2018-04-10 12:55:00+00:00,2018-04-10T06:00:00-07:00,2018-04-10 13:00:00+00:00,22006
2018-04-10T06:00:00-07:00,2018-04-10 13:00:00+00:00,2018-04-10T06:05:00-07:00,2018-04-10 13:05:00+00:00,22155
2018-04-10T06:05:00-07:00,2018-04-10 13:05:00+00:00,2018-04-10T06:10:00-07:00,2018-04-10 13:10:00+00:00,22490
2018-04-10T06:10:00-07:00,2018-04-10 13:10:00+00:00,2018-04-10T06:15:00-07:00,2018-04-10 13:15:00+00:00,22854
2018-04-10T06:15:00-07:00,2018-04-10 13:15:00+00:00,2018-04-10T06:20:00-07:00,2018-04-10 13:20:00+00:00,23069
2018-04-10T06:20:00-07:00,2018-04-10 13:20:00+00:00,2018-04-10T06:25:00-07:00,2018-04-10 13:25:00+00:00,23225
2018-04-10T06:25:00-07:00,2018-04-10 13:25:00+00:00,2018-04-10T06:30:00-07:00,2018-04-10 13:30:00+00:00,23353
2018-04-10T06:30:00-07:00,2018-04-10 13:30:00+00:00,2018-04-10T06:35:00-07:00,2018-04-10 13:35:00+00:00,23427
2018-04-10T06:35:00-07:00,2018-04-10 13:35:00+00:00,2018-04-10T06:40:00-07:00,2018-04-10 13:40:00+00:00,23517
2018-04-10T06:40:00-07:00,2018-04-10 13:40:00+00:00,2018-04-10T06:45:00-07:00,2018-04-10 13:45:00+00:00,23559
2018-04-10T06:45:00-07:00,2018-04-10 13:45:00+00:00,2018-04-10T06:50:00-07:00,2018-04-10 13:50:00+00:00,23587
2018-04-10T06:50:00-07:00,2018-04-10 13:50:00+00:00,2018-04-10T06:55:00-07:00,2018-04-10 13:55:00+00:00,23644
2018-04-10T06:55:00-07:00,2018-04-10 13:55:00+00:00,2018-04-10T07:00:00-07:00,2018-04-10 14:00:00+00:00,23703
2018-04-10T07:00:00-07:00,2018-04-10 14:00:00+00:00,2018-04-10T07:05:00-07:00,2018-04-10 14:05:00+00:00,23793
2018-04-10T07:05:00-07:00,2018-04-10 14:05:00+00:00,2018-04-10T07:10:00-07:00,2018-04-10 14:10:00+00:00,23968
2018-04-10T07:10:00-07:00,2018-04-10 14:10:00+00:00,2018-04-10T07:15:00-07:00,2018-04-10 14:15:00+00:00,24113
2018-04-10T07:15:00-07:00,2018-04-10 14:15:00+00:00,2018-04-10T07:20:00-07:00,2018-04-10 14:20:00+00:00,24178
2018-04-10T07:20:00-07:00,2018-04-10 14:20:00+00:00,2018-04-10T07:25:00-07:00,2018-04-10 14:25:00+00:00,24248
2018-04-10T07:25:00-07:00,2018-04-10 14:25:00+00:00,2018-04-10T07:30:00-07:00,2018-04-10 14:30:00+00:00,24300
2018-04-10T07:30:00-07:00,2018-04-10 14:30:00+00:00,2018-04-10T07:35:00-07:00,2018-04-10 14:35:00+00:00,24297
2018-04-10T07:35:00-07:00,2018-04-10 14:35:00+00:00,2018-04-10T07:40:00-07:00,2018-04-10 14:40:00+00:00,24378
2018-04-10T07:40:00-07:00,2018-04-10 14:40:00+00:00,2018-04-10T07:45:00-07:00,2018-04-10 14:45:00+00:00,24351
2018-04-10T07:45:00-07:00,2018-04-10 14:45:00+00:00,2018-04-10T07:50:00-07:00,2018-04-10 14:50:00+00:00,24321
2018-04-10T07:50:00-07:00,2018-04-10 14:50:00+00:00,2018-04-10T07:55:00-07:00,2018-04-10 14:55:00+00:00,24354
2018-04-10T07:55:00-07:00,2018-04-10 14:55:00+00:00,2018-04-10T08:00:00-07:00,2018-04-10 15:00:00+00:00,24327
2018-04-10T08:00:00-07:00,2018-04-10 15:00:00+00:00,2018-04-10T08:05:00-07:00,2018-04-10 15:05:00+00:00,24255
2018-04-10T08:05:00-07:00,2018-04-10 15:05:00+00:00,2018-04-10T08:10:00-07:00,2018-04-10 15:10:00+00:00,24235
2018-04-10T08:10:00-07:00,2018-04-10 15:10:00+00:00,2018-04-10T08:15:00-07:00,2018-04-10 15:15:00+00:00,24234
2018-04-10T08:15:00-07:00,2018-04-10 15:15:00+00:00,2018-04-10T08:20:00-07:00,2018-04-10 15:20:00+00:00,24183
2018-04-10T08:20:00-07:00,2018-04-10 15:20:00+00:00,2018-04-10T08:25:00-07:00,2018-04-10 15:25:00+00:00,24192
2018-04-10T08:25:00-07:00,2018-04-10 15:25:00+00:00,2018-04-10T08:30:00-07:00,2018-04-10 15:30:00+00:00,24215
2018-04-10T08:30:00-07:00,2018-04-10 15:30:00+00:00,2018-04-10T08:35:00-07:00,2018-04-10 15:35:00+00:00,24322
2018-04-10T08:35:00-07:00,2018-04-10 15:35:00+00:00,2018-04-10T08:40:00-07:00,2018-04-10 15:40:00+00:00,24383
2018-04-10T08:40:00-07:00,2018-04-10 15:40:00+00:00,2018-04-10T08:45:00-07:00,2018-04-10 15:45:00+00:00,24390
2018-04-10T08:45:00-07:00,2018-04-10 15:45:00+00:00,2018-04-10T08:50:00-07:00,2018-04-10 15:50:00+00:00,24394
2018-04-10T08:50:00-07:00,2018-04-10 15:50:00+00:00,2018-04-10T08:55:00-07:00,2018-04-10 15:55:00+00:00,24443
2018-04-10T08:55:00-07:00,2018-04-10 15:55:00+00:00,2018-04-10T09:00:00-07:00,2018-04-10 16:00:00+00:00,24448
2018-04-10T09:00:00-07:00,2018-04-10 16:00:00+00:00,2018-04-10T09:05:00-07:00,2018-04-10 16:05:00+00:00,24480
2018-04-10T09:05:00-07:00,2018-04-10 16:05:00+00:00,2018-04-10T09:10:00-07:00,2018-04-10 16:10:00+00:00,24473
2018-04-10T09:10:00-07:00,2018-04-10 16:10:00+00:00,2018-04-10T09:15:00-07:00,2018-04-10 16:15:00+00:00,24503
2018-04-10T09:15:00-07:00,2018-04-10 16:15:00+00:00,2018-04-10T09:20:00-07:00,2018-04-10 16:20:00+00:00,24458
2018-04-10T09:20:00-07:00,2018-04-10 16:20:00+00:00,2018-04-10T09:25:00-07:00,2018-04-10 16:25:00+00:00,24496
2018-04-10T09:25:00-07:00,2018-04-10 16:25:00+00:00,2018-04-10T09:30:00-07:00,2018-04-10 16:30:00+00:00,24526
2018-04-10T09:30:00-07:00,2018-04-10 16:30:00+00:00,2018-04-10T09:35:00-07:00,2018-04-10 16:35:00+00:00,24507
2018-04-10T09:35:00-07:00,2018-04-10 16:35:00+00:00,2018-04-10T09:40:00-07:00,2018-04-10 16:40:00+00:00,24535
2018-04-10T09:40:00-07:00,2018-04-10 16:40:00+00:00,2018-04-10T09:45:00-07:00,2018-04-10 16:45:00+00:00,24584
2018-04-10T09:45:00-07:00,2018-04-10 16:45:00+00:00,2018-04-10T09:50:00-07:00,2018-04-10 16:50:00+00:00,24606
2018-04-10T09:50:00-07:00,2018-04-10 16:50:00+00:00,2018-04-10T09:55:00-07:00,2018-04-10 16:55:00+00:00,24595
2018-04-10T09:55:00-07:00,2018-04-10 16:55:00+00:00,2018-04-10T10:00:00-07:00,2018-04-10 17:00:00+00:00,24616
2018-04-10T10:00:00-07:00,2018-04-10 17:00:00+00:00,2018-04-10T10:05:00-07:00,2018-04-10 17:05:00+00:00,24631
2018-04-10T10:05:00-07:00,2018-04-10 17:05:00+00:00,2018-04-10T10:10:00-07:00,2018-04-10 17:10:00+00:00,24686
2018-04-10T10:10:00-07:00,2018-04-10 17:10:00+00:00,2018-04-10T10:15:00-07:00,2018-04-10 17:15:00+00:00,24786
2018-04-10T10:15:00-07:00,2018-04-10 17:15:00+00:00,2018-04-10T10:20:00-07:00,2018-04-10 17:20:00+00:00,24807
2018-04-10T10:20:00-07:00,2018-04-10 17:20:00+00:00,2018-04-10T10:25:00-07:00,2018-04-10 17:25:00+00:00,24834
2018-04-10T10:25:00-07:00,2018-04-10 17:25:00+00:00,2018-04-10T10:30:00-07:00,2018-04-10 17:30:00+00:00,24845
2018-04-10T10:30:00-07:00,2018-04-10 17:30:00+00:00,2018-04-10T10:35:00-07:00,2018-04-10 17:35:00+00:00,24855
2018-04-10T10:35:00-07:00,2018-04-10 17:35:00+00:00,2018-04-10T10:40:00-07:00,2018-04-10 17:40:00+00:00,24900
2018-04-10T10:40:00-07:00,2018-04-10 17:40:00+00:00,2018-04-10T10:45:00-07:00,2018-04-10 17:45:00+00:00,24867
2018-04-10T10:45:00-07:00,2018-04-10 17:45:00+00:00,2018-04-10T10:50:00-07:00,2018-04-10 17:50:00+00:00,24985
2018-04-10T10:50:00-07:00,2018-04-10 17:50:00+00:00,2018-04-10T10:55:00-07:00,2018-04-10 17:55:00+00:00,25020
2018-04-10T10:55:00-07:00,2018-04-10 17:55:00+00:00,2018-04-10T11:00:00-07:00,2018-04-10 18:00:00+00:00,25034
2018-04-10T11:00:00-07:00,2018-04-10 18:00:00+00:00,2018-04-10T11:05:00-07:00,2018-04-10 18:05:00+00:00,25076
2018-04-10T11:05:00-07:00,2018-04-10 18:05:00+00:00,2018-04-10T11:10:00-07:00,2018-04-10 18:10:00+00:00,25098
2018-04-10T11:10:00-07:00,2018-04-10 18:10:00+00:00,2018-04-10T11:15:00-07:00,2018-04-10 18:15:00+00:00,25145
2018-04-10T11:15:00-07:00,2018-04-10 18:15:00+00:00,2018-04-10T11:20:00-07:00,2018-04-10 18:20:00+00:00,25159
2018-04-10T11:20:00-07:00,2018-04-10 18:20:00+00:00,2018-04-10T11:25:00-07:00,2018-04-10 18:25:00+00:00,25091
2018-04-10T11:25:00-07:00,2018-04-10 18:25:00+00:00,2018-04-10T11:30:00-07:00,2018-04-10 18:30:00+00:00,25213
2018-04-10T11:30:00-07:00,2018-04-10 18:30:00+00:00,2018-04-10T11:35:00-07:00,2018-04-10 18:35:00+00:00,25225
2018-04-10T11:35:00-07:00,2018-04-10 18:35:00+00:00,2018-04-10T11:40:00-07:00,2018-04-10 18:40:00+00:00,25371
2018-04-10T11:40:00-07:00,2018-04-10 18:40:00+00:00,2018-04-10T11:45:00-07:00,2018-04-10 18:45:00+00:00,25428
2018-04-10T11:45:00-07:00,2018-04-10 18:45:00+00:00,2018-04-10T11:50:00-07:00,2018-04-10 18:50:00+00:00,25426
2018-04-10T11:50:00-07:00,2018-04-10 18:50:00+00:00,2018-04-10T11:55:00-07:00,2018-04-10 18:55:00+00:00,25487
2018-04-10T11:55:00-07:00,2018-04-10 18:55:00+00:00,2018-04-10T12:00:00-07:00,2018-04-10 19:00:00+00:00,25500
2018-04-10T12:00:00-07:00,2018-04-10 19:00:00+00:00,2018-04-10T12:05:00-07:00,2018-04-10 19:05:00+00:00,25533
2018-04-10T12:05:00-07:00,2018-04-10 19:05:00+00:00,2018-04-10T12:10:00-07:00,2018-04-10 19:10:00+00:00,25552
2018-04-10T12:10:00-07:00,2018-04-10 19:10:00+00:00,2018-04-10T12:15:00-07:00,2018-04-10 19:15:00+00:00,25597
2018-04-10T12:15:00-07:00,2018-04-10 19:15:00+00:00,2018-04-10T12:20:00-07:00,2018-04-10 19:20:00+00:00,25627
2018-04-10T12:20:00-07:00,2018-04-10 19:20:00+00:00,2018-04-10T12:25:00-07:00,2018-04-10 19:25:00+00:00,25680
2018-04-10T12:25:00-07:00,2018-04-10 19:25:00+00:00,2018-04-10T12:30:00-07:00,2018-04-10 19:30:00+00:00,25717
2018-04-10T12:30:00-07:00,2018-04-10 19:30:00+00:00,2018-04-10T12:35:00-07:00,2018-04-10 19:35:00+00:00,25739
2018-04-10T12:35:00-07:00,2018-04-10 19:35:00+00:00,2018-04-10T12:40:00-07:00,2018-04-10 19:40:00+00:00,25806
2018-04-10T12:40:00-07:00,2018-04-10 19:40:00+00:00,2018-04-10T12:45:00-07:00,2018-04-10 19:45:00+00:00,25896
2018-04-10T12:45:00-07:00,2018-04-10 19:45:00+00:00,2018-04-10T12:50:00-07:00,2018-04-10 19:50:00+00:00,25976
2018-04-10T12:50:00-07:00,2018-04-10 19:50:00+00:00,2018-04-10T12:55:00-07:00,2018-04-10 19:55:00+00:00,26049
2018-04-10T12:55:00-07:00,2018-04-10 19:55:00+00:00,2018-04-10T13:00:00-07:00,2018-04-10 20:00:00+00:00,26119
2018-04-10T13:00:00-07:00,2018-04-10 20:00:00+00:00,2018-04-10T13:05:00-07:00,2018-04-10 20:05:00+00:00,26135
2018-04-10T13:05:00-07:00,2018-04-10 20:05:00+00:00,2018-04-10T13:10:00-07:00,2018-04-10 20:10:00+00:00,26178
2018-04-10T13:10:00-07:00,2018-04-10 20:10:00+00:00,2018-04-10T13:15:00-07:00,2018-04-10 20:15:00+00:00,26270
2018-04-10T13:15:00-07:00,2018-04-10 20:15:00+00:00,2018-04-10T13:20:00-07:00,2018-04-10 20:20:00+00:00,26347
2018-04-10T13:20:00-07:00,2018-04-10 20:20:00+00:00,2018-04-10T13:25:00-07:00,2018-04-10 20:25:00+00:00,26431
2018-04-10T13:25:00-07:00,2018-04-10 20:25:00+00:00,2018-04-10T13:30:00-07:00,2018-04-10 20:30:00+00:00,26513
2018-04-10T13:30:00-07:00,2018-04-10 20:30:00+00:00,2018-04-10T13:35:00-07:00,2018-04-10 20:35:00+00:00,26614
2018-04-10T13:35:00-07:00,2018-04-10 20:35:00+00:00,2018-04-10T13:40:00-07:00,2018-04-10 20:40:00+00:00,26666
2018-04-10T13:40:00-07:00,2018-04-10 20:40:00+00:00,2018-04-10T13:45:00-07:00,2018-04-10 20:45:00+00:00,26724
2018-04-10T13:45:00-07:00,2018-04-10 20:45:00+00:00,2018-04-10T13:50:00-07:00,2018-04-10 20:50:00+00:00,26780
2018-04-10T13:50:00-07:00,2018-04-10 20:50:00+00:00,2018-04-10T13:55:00-07:00,2018-04-10 20:55:00+00:00,26854
2018-04-10T13:55:00-07:00,2018-04-10 20:55:00+00:00,2018-04-10T14:00:00-07:00,2018-04-10 21:00:00+00:00,26929
2018-04-10T14:00:00-07:00,2018-04-10 21:00:00+00:00,2018-04-10T14:05:00-07:00,2018-04-10 21:05:00+00:00,26943
2018-04-10T14:05:00-07:00,2018-04-10 21:05:00+00:00,2018-04-10T14:10:00-07:00,2018-04-10 21:10:00+00:00,26973
2018-04-10T14:10:00-07:00,2018-04-10 21:10:00+00:00,2018-04-10T14:15:00-07:00,2018-04-10 21:15:00+00:00,27042
